model,n_features,r2_mean,r2_std,rmse_mean,r2_ci95_low,r2_ci95_high
Tam (10 feat),10,0.8725,0.0054,1.1123,,
Minimal (7 feat),7,0.8698,0.0057,1.1241,0.8676,0.8719
