u,v,speed,dir_from
-1.706657192923806,2.0840136137875644,2.6936576465116104,140.6849914721767
-1.8790463100780144,1.4747907573526555,2.38868642006242,128.12699689957728
-1.323029084639116,0.8990006771954625,1.5995649959907592,124.19617946266573
-1.4404110475019976,0.2700782472437078,1.4655122808765662,100.61970045939498
0.17534488981420346,2.448789509859952,2.4550592444957617,184.09565805359583
0.6521160277453336,2.42566780610518,2.511796094275463,195.0475987712748
-0.11029810255224054,2.2728817462921143,2.27555643833646,177.2217375710867
-0.7236709594726562,2.2592584870078345,2.372329776548995,162.23903689068067
-1.2763006687164307,3.3001012368635703,3.5383063138335653,158.85622533018642
-1.1151678237048064,3.5778815529563213,3.747644017514424,162.68858796524034
-1.2432028488679365,3.5395058285106304,3.751487016303545,160.646874832519
-1.4515883272344416,3.226870233362371,3.5383329654970868,155.7796863987789
-0.9279117367484353,2.491028438914906,2.658240559971639,159.56956408351874
-1.1803009726784446,2.509779474952004,2.773464151381092,154.81330156643537
-1.6008429960771038,2.648294448852539,3.0945374106499814,148.84784623193752
-0.4890753789381547,2.552390467036854,2.5988250850151706,169.15277071300892
-1.1068485216660935,3.2805606235157363,3.462252396125443,161.35580316628432
-1.1292452595450662,3.1398814808238633,3.3367724779831276,160.21909029991656
-1.1855321363969282,2.868278806859797,3.103628482971331,157.54345517243806
-1.2034464532678777,2.4782305197282275,2.75497910605425,154.09845902116322
-0.531867421486161,2.9482808546586474,2.9958709838684743,169.7738747771093
-1.123509634624828,2.520824844186956,2.759860828767459,155.97788419928477
-1.0830796740271829,2.4954638264395976,2.720367859198345,156.53822188049216
-0.6189548806710675,2.147070863030174,2.2345063068113435,163.9188532018132
-1.4805406657132234,3.1908746415918525,3.517624431514042,155.10907173609104
-1.5974086956544358,3.234164649789984,3.6071506099556716,153.7144538061359
-1.5014366778460413,3.018698887391524,3.3714766898675395,153.55522402577213
-1.3618583462455056,2.602993683381514,2.937726037424628,152.38191859149504
-1.2543230165134778,2.7387593442743476,3.012329493200491,155.39271766267237
-1.5769284638491545,2.8566288514570757,3.262978972514936,151.1002364838506
-1.34904530915347,2.592382691123269,2.9223913604075182,152.50806403493738
